N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.224.585/2009;1/10/2009 00:00;NAZCA;4652;NAZCA 4652;073-022-032;1.856,02;13/3/2012 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419DFW;-34.58676756665854;-58.501821540415484
1.230.425/2009;2/10/2009 00:00;TRIUNVIRATO AV.;3629;TRIUNVIRATO AV. 3629;049-039-034;2.162,66;6/12/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA ORTUZAR;COMUNA 15;1427;C1427AAJ;-34.58198414333493;-58.472683039226595
1.230.380/2009;2/10/2009 00:00;GARCIA, JUAN AGUSTIN;5111;GARCIA, JUAN AGUSTIN 5111;085-023-036A;221.70;7/11/2012 00:00;;;DEMOLICION TOTAL Y OBRA;MONTE CASTRO;COMUNA 10;1407;C1407FXK;-34.62538069508639;-58.50498444436001
1.237.254/2009;5/10/2009 00:00;TERRADA;4865;TERRADA 4865;073-040-014;1717.74;23/4/2012 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA PUEYRREDON;COMUNA 12;1419;C1419DKW;-34.584137473424136;-58.50230977988149
1.238.093/2009;5/10/2009 00:00;GORRITI;6044;GORRITI 6044;035-007-008;4849.38;7/6/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1414;C1414BKN;-34.581422133243834;-58.441949470093476
1.243.863/2009;6/10/2009 00:00;MEDRANO AV.;891;MEDRANO AV. 891;017-096-019;942.61;25/7/2011 00:00;;;DEMOLICION TOTAL Y OBRA;ALMAGRO;COMUNA 5;1179;C1179AAO;-34.59956149710354;-58.42037657813099
1.247.871/2009;7/10/2009 00:00;MEXICO;2402;MEXICO 2402;020-021-001;22.50;7/2/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;BALVANERA;COMUNA 3;1222;C1222ABN;-34.61650208230215;-58.40035916285416
1.249.094/2009;7/10/2009 00:00;DE LA TORRE, LISANDRO;1454;DE LA TORRE, LISANDRO 1454;074-086-020D;305.41;12/9/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;MATADEROS;COMUNA 9;1440;C1440ECP;-34.653469704580374;-58.51155145682275
1.248.679/2009;7/10/2009 00:00;JUSTO, JUAN B. AV.;3940;JUSTO, JUAN B. AV. 3940;059-159-001D;46.80;14/2/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA CRESPO;COMUNA 15;1416;C1416DJT;-34.60413246774349;-58.45775909236065
1.254.900/2009;8/10/2009 00:00;SANCHEZ DE BUSTAMANTE;1187;SANCHEZ DE BUSTAMANTE 1187;015-059-011;2092.12;22/10/2012 00:00;;;DEMOLICION TOTAL Y OBRA;RECOLETA;COMUNA 2;1173;C1173ABU;-34.597164211803694;-58.41301280303455
1.255.377/2009;8/10/2009 00:00;DIAZ COLODRERO;3170;DIAZ COLODRERO 3170;063-131-010;30.73;3/10/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431FMP;-34.56750701610602;-58.49054528984372
1.260.173/2009;9/10/2009 00:00;JUAREZ, BENITO;2657;JUAREZ, BENITO 2657;087-089C-020;409.35;23/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;MONTE CASTRO;COMUNA 10;1417;C1417BLI;-34.61507556425881;-58.50907354975004
1.265.688/2009;13/10/2009 00:00;MONROE;5382;MONROE 5382;051-037-011;42.59;10/5/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431CAV;-34.57615063321779;-58.48944525435262
1.265.688/2009;13/10/2009 00:00;MONROE;5382;MONROE 5382;051-037-011;42.59;13/11/2012 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA URQUIZA;COMUNA 12;1431;C1431CAV;-34.57615063321779;-58.48944525435262
